time,avg_power_kw
658.571,3445.330121
659.571,3445.330121
660.571,3445.330121
661.571,3445.330121
662.571,3445.330121
663.571,3445.330121
664.571,3445.330121
665.571,3445.330121
666.571,3445.330121
667.571,3445.330121
668.571,3445.330121
669.571,3445.330121
670.571,3445.330121
671.571,3445.330121
672.571,3445.330121
673.571,3445.330121
674.571,3445.330121
675.571,3445.330121
676.571,3445.330121
677.571,3445.330121
678.571,3445.330121
679.571,3445.330121
680.571,3445.330121
681.571,3445.330121
682.571,3445.330121
683.571,3445.330121
684.571,3445.330121
685.571,3445.330121
686.571,3445.330121
687.571,3445.330121
688.571,3445.330121
689.571,3445.330121
690.571,3445.330121
691.571,3445.330121
692.571,3445.330121
693.571,3445.330121
694.571,3445.330121
695.571,3445.330121
696.571,3445.330121
697.571,3445.330121
698.571,3445.330121
699.571,3445.330121
700.571,3445.330121
701.571,3445.330121
702.571,3445.330121
703.571,3445.330121
704.571,3445.330121
705.571,3445.330121
706.571,3445.330121
707.571,3445.330121
708.571,3445.330121
709.571,3445.330121
710.571,3445.330121
711.571,3445.330121
712.571,3445.330121
713.571,3445.330121
714.571,3445.330121
715.571,3445.330121
716.571,3445.330121
717.571,3445.330121
718.571,3445.330121
719.571,3445.330121
720.571,3445.330121
721.571,3445.330121
722.571,3445.330121
723.571,3445.330121
724.571,3445.330121
725.571,3445.330121
726.571,3445.330121
727.571,3445.330121
728.571,3445.330121
729.571,3445.330121
730.571,3445.330121
731.571,3445.330121
732.571,3445.330121
733.571,3445.330121
734.571,3445.330121
735.571,3445.330121
736.571,3445.330121
737.571,3445.330121
738.571,3445.330121
739.571,3445.330121
740.571,3445.330121
741.571,3445.330121
742.571,3445.330121
743.571,3445.330121
744.571,3445.330121
745.571,3445.330121
746.571,3445.330121
747.571,3445.330121
748.571,3445.330121
749.571,3445.330121
750.571,3445.330121
751.571,3445.330121
752.571,3445.330121
753.571,3445.330121
754.571,3445.330121
755.571,3445.330121
756.571,3445.330121
757.571,3445.330121
758.571,3445.330121
759.571,3445.330121
760.571,3445.330121
761.571,3445.330121
762.571,3445.330121
763.571,3445.330121
764.571,3445.330121
765.571,3445.330121
766.571,3445.330121
767.571,3445.330121
768.571,3445.330121
769.571,3445.330121
770.571,3445.330121
771.571,3445.330121
772.571,3445.330121
773.571,3445.330121
774.571,3445.330121
775.571,3445.330121
776.571,3445.330121
777.571,3445.330121
778.571,3445.330121
779.571,3445.330121
780.571,3445.330121
781.571,3445.330121
782.571,3445.330121
783.571,3445.330121
784.571,3445.330121
785.571,3445.330121
786.571,3445.330121
787.571,3445.330121
788.571,3445.330121
789.571,3445.330121
790.571,3445.330121
791.571,3445.330121
792.571,3445.330121
793.571,3445.330121
794.571,3445.330121
795.571,3445.330121
796.571,3445.330121
797.571,3445.330121
798.571,3445.330121
799.571,3445.330121
800.571,3445.330121
801.571,3445.330121
802.571,3445.330121
803.571,3445.330121
804.571,3445.330121
805.571,3445.330121
806.571,3445.330121
807.571,3445.330121
808.571,3445.330121
809.571,3445.330121
810.571,3445.330121
811.571,3445.330121
812.571,3445.330121
813.571,3445.330121
814.571,3445.330121
815.571,3445.330121
816.571,3445.330121
817.571,3445.330121
818.571,3445.330121
819.571,3445.330121
820.571,3445.330121
821.571,3445.330121
822.571,3445.330121
823.571,3445.330121
824.571,3445.330121
825.571,3445.330121
826.571,3445.330121
827.571,3445.330121
828.571,3445.330121
829.571,3445.330121
830.571,3445.330121
831.571,3445.330121
832.571,3445.330121
833.571,3445.330121
